id;language;translation;hash
66;en;Status;2e5f31d4f33fe5d1e1ce46b3d35d879d
67;en;Folder?;2da0bb4c0ded01d549385a306ef1b927
68;en;Parent;95723d60baadff8612255f5d9722e16d
69;en;Template;d6dcd6d6b3b3af95cd0d84cdcb9e7426
70;en;"Created at";1c98bbf34b1394e9369b3c621f7c7d79
71;en;"Updated at";e61010cdee1d8713b8cdaa1f6f013a1a
72;en;Created;64f19c9a1918d837288cc677a0c87265
73;en;Changed;64f19c9a1918d837288cc677a0c87265
74;en;Access;ce1299d662fe170234667a3ada4b9f08
75;en;User;59b4c6a048c917e3a7dd859d91bd3c7d
76;en;Provider;43d3b1a7522cbda76ac190771b065d55
77;en;"Provider user";d28bc21f6535e702668f2a375c6e638b
78;en;Page;678f1e171e7a458214894b77e6f40f00
79;en;Description;1f6280e24457b27b2fcdabe1fa62eb75
80;en;Rule;84eab6862e14c040ae1e91112544a876
81;en;Data;72b752d3d733ddc6801baae0065d3337
82;en;"Field type";d9d58a558b26086ce17f1b10c305def3
83;en;Required;84b7e5142b0df99332332bf0455fa527
84;en;Unique;84b7e5142b0df99332332bf0455fa527
85;en;"Minimum value";37a8ba297d0c1ffac3ba0ba1f683a043
86;en;"Maximum value";2752b64aa16433cdc16dcece5eeb0d73
87;en;"Extra options";d12b12db44f670d8335f840232b25112
88;en;Child;4e781b92106145efd22c723744b616fb
89;en;"The user with the email address is not registered";247dd9bc8d70d35ae2a2dfdd5f77d9f7
90;en;Email;a155137df5cf626aee28658d4278ad35
91;en;"{name} robot";373218f0715b64d5cd04e794934604fc
92;en;"Password reset for {name}";3a847950f837aba3da072b3441585b62
93;en;"A photo";3a847950f837aba3da072b3441585b62
94;en;Password;c1bc6de313bebf1ad9e865fbc9ce7766
95;en;"Password confirmation";c933c26fed469c45b1a0e55b675e84cf
96;en;Role;3985936f04d9c56060e2c7216a00b0d3
97;en;"This email is already registered.";5432299d5ed76bc0edbbfd83769f53a1
98;en;"Confirmation of registration on the site";c729a3acb28d1616eabd2a94e8b4304f
99;en;"Missing verification code.";c95b78f5bbd4f754b69f851cdf6bf283
100;en;"Invalid token.";921b8b2a505043d79ff0e2992c243c0b
101;en;"Minimum date";09520959fe937c103267619413bf03b3
102;en;"Maximum date";7d0521f16db4f6da8909227e7edcc4f8
103;en;"File extension";96a4fa4479f317fa9d276fc3fa6dd86d
104;en;"The list cannot be empty.";41ef54e7f43ef21a2dd2abff927a9610
105;en;"Permission List";760fcc5a18f242e433d470bada7dd690
106;en;"Remember me";4c34ebf3ec38ecc4305893828ec4df46
107;en;"Invalid Email or Password entered.";c2cec6b1f356b759e11ec4d21000b289
108;en;"Account not confirmed. Check Email.";c2cec6b1f356b759e11ec4d21000b289
109;en;"Account is blocked. Contact person with administrator.";249695371343d718c0c0fbe706237fc2
110;en;"The field ""{field}"" is required.";d38e373443b2318450cc63a315603800
111;en;"The field ""{field}"" is not an email address.";e7c6988b0d176b5f87fae9f8797bf949
112;en;"The field ""{field}"" is not a link.";acca4eb0d4763a168b0dc889a9b41955
113;en;"The field ""{field}"" is not a YuoTube link.";acca4eb0d4763a168b0dc889a9b41955
114;en;"Files may have the following extensions {extensions}";55cf08c34e8df5643967c5cafa389e68
115;en;"The field ""{field}"" cannot be less than ""{min}"".";1ea0ae28197eec25f7f6caa5b5bf2090
116;en;"The field ""{field}"" cannot be less than ""{date}"".";d7d1e9ac4f616a66b53dc6c6c9c50125
117;en;"The field ""{field}"" cannot be greater than ""{max}"".";d31a58531b7aaa3710bfe69b71cd47b1
118;en;"The field ""{field}"" must contain no more than ""{strlen}"" characters.";d31a58531b7aaa3710bfe69b71cd47b1
119;en;"The field ""{field}"" cannot be greater than ""{date}"".";f57a7d60c23a09659e7d1201e2f16780
120;en;"The field ""{field}"" cannot contain more ""{files}"" files.";28b64e019c17771da2d5c15032173add
121;en;"The field ""{field}"" must be unique.";a93695d2acc817da650988a8178e3118
122;en;"The reset token cannot be empty.";0da23572a86952a0ed3ac41b01c47e8f
123;en;"Invalid password reset token.";6090596cd1ae2b4df38f216f2672b708
124;en;"English name";b061e4a3eceb23ef07043032ff098d0c
125;en;OKATO;b061e4a3eceb23ef07043032ff098d0c
126;en;Region;f310e583b74059a315fd00cb3cad5c4a
127;en;"Message category";ab9007c1f05a49616018fb17d1e02379
128;en;Message;9ed9dfbef84a678f24f973e29f5d9d85
129;en;Location;9130522ecb85476511b3341518466469
130;en;"Message hash";926148d572817093c6b90897a413b2d3
132;en;"Browser data";023aaf6aa96a08970d7991e1f63f694c
133;en;Name;ffd4f45cb4649db274461f24f3e80dc2
134;en;"Last name";023aaf6aa96a08970d7991e1f63f694c
135;en;"Authorization key";9b0fa986ebca44a79a10bd93459f1ec3
136;en;"Password hash";957216d5fda93631985fbcbd26afcfb8
137;en;"Password recovery token";957216d5fda93631985fbcbd26afcfb8
138;en;"Email Confirmation Token";76e703df178731cc878965c792c8f844
139;en;Gender;4020921428a04f7b8cc653194efec019
140;en;"Date of Birth";87ef6678eeef2e920f28a36ebf975c9d
141;en;Phone;656b4e07a129c35e54f4d2a4e1691549
142;en;"A country";a0f9cd6e98312061eaf1e1f25cbc00bc
143;en;City;c01a246ac413b04ec0e5032f3f200aaf
144;en;Address;1fd906e96e71d7e25ace083957a44a9e
145;en;Authorized;1fd906e96e71d7e25ace083957a44a9e
146;en;"File name";34df3e87e36c3b2f4b4bcb58834e7b7f
147;en;Extension;fb7ad62b58374e33a18bcc3be6924612
148;en;"The size";fb7ad62b58374e33a18bcc3be6924612
149;en;"The path to the file";605c30affabccd66b5a84de4cf4e8372
150;en;Integer;da3972d2eb7d41b3aa78325496a83fed
151;en;"Integer range";b4ff16d8abc585fcbd5009498eb3257c
152;en;"Number with a fraction";36819be92fadbc665edd6a1dbc6c8528
153;en;"Range of numbers with a fraction";36819be92fadbc665edd6a1dbc6c8528
154;en;String;08e1a2dfc535a104304ee7d0775cf5e2
155;en;Text;6f308e6b9ca365fa2ca7e3af86c9ceae
156;en;Checkbox;dca092ddb3301060fd5b814cfb34c700
157;en;"Radio button";544666c98529db68332e1b22d926f0f7
158;en;List;083ea28ddeb2a06e158ce26dc94201b2
159;en;"Multi-select list";6b46e610148b437c9ecf3797af898f9f
160;en;Price;6b46e610148b437c9ecf3797af898f9f
161;en;Date;3fb5f7f55fa13257b4c760d6fa501181
162;en;"Date range";ffcd6e1d4fb22cf2e6827689b3c84111
163;en;Email;40d8c617f5967a1279e8a198ab82f7fd
164;en;Link;1e21763739945c9fea056afde5765687
165;en;"Page social network";43a7011e63dd0bbc3e710b0fa941a13c
166;en;"YouTube video";dc02c06f2939fc51d6f1208d1919adf3
167;en;File;c9fd1a8a4ff48ced2dccaaed4e38129a
168;en;"Multiple files";9223c390359095a777dba67df6fa6e9c
169;en;Resolution;f08a860c9ec5001f6fee1c3565c614ec
170;en;"Authorized user";f08a860c9ec5001f6fee1c3565c614ec
171;en;"All users";c22e3195a959158c0b7ecb0bb779c781
172;en;"The guests";5e84ef1b883b2a9a61aaa8c2478927b8
173;en;"Not confirmed";5e84ef1b883b2a9a61aaa8c2478927b8
174;en;Published;ebda82605f13e208842ce0b6fa358c61
175;en;Blocked;6686cb1cf5d88a1bfaa63bc0e2ecec26
176;en;Active;d0177dfde678ce1415ecbf629729018d
177;en;"Not active";9dbf2b59c8dad534267437b3b769ab38
178;en;Male;38e5ff2e4aef03d1a50d679aa90dbbed
179;en;Female;92ab6ad1146c76d53c040048dfbd02f8
180;en;"Search by token is not supported.";8444bd724173fdc872eb9ef74b7e6521
181;en;"Translation language";b74f5e0f4cd22feb419d554b802a3b49
182;en;Transfer;29657617212a1a186f6c77b686a09db9
183;en;"Translation hash";b038eed690fce61d406db51107f3ae1b
184;en;"This name is already used in this folder.";73d75231b3623ed724e51960058c15d2
185;en;"Additional fields must be an array.";6cead45e70bd94ad07f4fe3d861eaec4
186;en;"This route is already used in this folder.";81611485d28f76d414c39651e5cce0e8
187;en;"This alias is already used in this folder.";81611485d28f76d414c39651e5cce0e8
188;en;Hello;e5b2d5e5b9b1c4687a8de0fa971b4e0e
189;en;"Click the link below to reset your password.";51b50a805d84b6b26de3cbd03322aa11
190;en;"To confirm the address and initial authorization, follow the link.";4d3ddb766323876285e2fbe8250d0bcd
192;en;Error!;c53dc6664a1bbd8cda0b3088be95cdfd
193;en;"You have insufficient rights.";8f296ebffe737b8884c775a3312d75af
194;en;"Enable PHP ""zip"" extension or install ZipArchive on the server.";45d70682bceb06624860cf58e647e815
195;en;"Models not transferred.";45d70682bceb06624860cf58e647e815
196;en;"Choose a city";fb0fd91dc2639400cd0817a9f377a6a6
198;en;"Create folder";ccd6a22e30f4e69e88d61ba396bd45e1
199;en;"View folder";67da7c5dfdf89eeec875671479f0700f
200;en;"Update folder";1350e44c743b79a192d46dfc12deb47e
201;en;"Delete folder";19c87890182049c5160e8e3e42c762b5
202;en;"There are no required properties ""getRootUrl"" or ""getChildUrl"" or an array of elements ""items"".";19c87890182049c5160e8e3e42c762b5
203;en;"Missing array of ""items"" elements.";b3a5d9a532e3553c8c05c1b07e7495a5
204;en;"If you have not registered on our website, then simply delete this email.";86c76f677f3c8340ea38c95e60be0a58
206;en;Successfully;e5df8707da88234f9f5c59c83eb8580a
207;en;"Sign in";59cdff139f55e09bb04345524c3fb14e
208;en;"Log in to go to the control panel site.";f6540998b8077b5b0e0275b7cbfb3acc
209;en;"Delete user?";f6540998b8077b5b0e0275b7cbfb3acc
210;en;Yes;cee040ec3ed97b340db7855d31b8f781
211;en;No;47706a6f15fdf078523700542319c2b9
212;en;"Create user";abc78d73f8312d3bb694667d6007bf89
213;en;"Edit user";06bc84fed9685ec891299fc2a93067f1
214;en;"Viewing user";cd30cb99622d1495b75cbbbc48d174e4
215;en;"Delete user";713160999490bcdb8e2ea5f26b31855d
216;en;"You are not authorized to view.";c6298664fcb5ac2c3f86f0be250e06be
217;en;"View role or permissions";c08cd2efd8e439ad9ff113ba7a5e3f22
218;en;"User manager";bd7a910fc4be887125855ae79d999da8
219;en;"Export users, their roles and social keys in CSV";475070d796f24ce89e05c31f268956ca
220;en;Users;475070d796f24ce89e05c31f268956ca
221;en;"Attention!!! The folder contains items, delete them first.";409f0e96bcffcca27fae72d0a719f2b5
222;en;"Create item";409f0e96bcffcca27fae72d0a719f2b5
223;en;"Edit item";41fe48e4c25693dedc0e2ba0ed6d13cd
224;en;To;6ceb4cedae5e3a1b4dd41950ebffbd70
225;en;From;97ccb791aa12056cfd58264c3167dee4
226;en;"Delete item";de38814c1464443b053ee3b6ce171c7d
227;en;"View Item";14a01a9cb1421e799709bfb6fd3f9870
228;en;Views;14a01a9cb1421e799709bfb6fd3f9870
229;en;Likes;65cbe3a986f420f69c24e06ea172e116
230;en;"To create and display documents, you must select a folder.";ec4b26ac0dc4e61ef08979855098bd4c
231;en;"Delete a file?
";a17176d914c136151d0f4ff3ad02dc8d
232;en;"Delete item?";30705bc993e0093f3e054e9e4c839733
233;en;"Repeat name";805d8206f9ab9144e5730496299d6754
234;en;"To form";533be1b760c071669129f9007c77f975
235;en;"From the name";2674e46e3b8cd11b4be754b44424856f
236;en;"From title";d2027cbcb2e9cc631f438780891b62c1
237;en;"Create template";5092c7bf26b46a6cd4ddb74f5568d4b7
238;en;"Change template";31508b6ded12c67da41b2a48f9155701
239;en;"View Template";de7d8671157afcf8591ab4c152bd8e66
240;en;Fields;a130e05f453b038f95a539d3c5cb5c5f
241;en;"Add field";fd7c127ea5cb6d40f9f4d8be07487775
242;en;"Delete template";1566e2689101a9f516c920098a3b3272
243;en;"View basket item";cdf650880bfd088bb180055d975de753
244;en;"No rights to view.";cdf650880bfd088bb180055d975de753
245;en;"Cart manager";88375709a4e72d4b584c9b7e8030b665
246;en;"Export basket to CSV";231e1dab1632c90ceffcee4b169a5e1c
247;en;"Update field";3bb433c1943a1ca98ae8e3a2cb772a33
248;en;"Delete field";752f01c2737a098b2bcef4ff9e973fd2
249;en;Value;7f49a7ed54b6c97415b9a76c814b2365
250;en;"View field";49ff2fda802ff060cebffe9a6138a7c9
251;en;"Document Manager";fcd953ec9598b189460ba233b10d7a99
252;en;"Export all templates and documents to CSV";ca7e12618bf0d159eeeb33a4165ceb98
253;en;Folders;f3c35604307312e5e4cc10a4c8e0a74f
254;en;"Documents
";f07f8012cd6d5a568357046df3364502
255;en;Templates;489a81e19727b06cae5a67882594aa6b
256;en;"New Posts:";7e6626b89eae40b0c4d50aeba3a65ecc
257;en;"Deleted messages:";7e6626b89eae40b0c4d50aeba3a65ecc
258;en;"Cache successfully cleared.";9a1ae9a6825d5ee232701f2b408813ca
259;en;Error;fdb22f916d8be4e447e3d8fcbe2b8584
260;en;"Office I18n";05425f49873a65152afdeb345a8b31f7
261;en;"Export I18n to CSV";15b3112492fd3f64c4087643b4f7ee62
262;en;"Search for new messages";a6dd4f225f202b42929c1bf15f506f95
263;en;"Clear cache";011da7714e9c19dd8ecb0d7baf184ac4
264;en;Everything;011da7714e9c19dd8ecb0d7baf184ac4
265;en;"Not translated.";ac98983ad475be756ca0ebe34830fa1b
266;en;Category;47bd035e400f7dc95716afe13230271d
267;en;"The above error occurred when the web server processed your request.";498a187774f592f269c942e418be10c2
268;en;"If you think this is a server error, please contact us <strong> {email} </ strong>.";21c9ab83e4e08a7394d3f8b3f005dbb6
269;en;Desktop;e241df1e6a69538ffdbb4f5e2493d7ab
270;en;"Delete rule";b9b7f435f79774d3a0b3a1ac24599d77
271;en;"Create a rule";79c2fe5dcf1a5225761a6ffd9a1ae03a
272;en;"View rule";c38d3e775af9872cd78d3bc950266f80
273;en;"Change rule";1934031d999298bf4f970a3266f82de0
274;en;"Remove role or permission?";3c293f2164d529d5e1ecc2b4f3ff7f21
275;en;"View RBAC inheritance";3c293f2164d529d5e1ecc2b4f3ff7f21
276;en;"Create RBAC inheritance";553faf3b9cf3caecb15b951884b62ef5
277;en;"Change RBAC inheritance";0ff37474b77fce4853c332e2ed2711e0
278;en;"Remove RBAC inheritance";0ff37474b77fce4853c332e2ed2711e0
279;en;"Change role or permission";12a0d5c1bcf221dc0709c1c843610366
280;en;"Remove role or permission";4791e190ebaa122585d113ba3323e8cb
282;en;"Roles and tolerances";f1fde1d26bc68f29790f3e71f3a60cbc
283;en;"Export RBAC to CSV";61ab3e26946521cc36ba8e6f06c0a0f4
284;en;"All roles and permissions";e952dfae91787bb263342e281891bb72
285;en;"Create role or permission";e952dfae91787bb263342e281891bb72
286;en;"Role inheritance";d8483f4b302437f9af2fc16f668ec066
287;en;"Rules for users";6cf866f76f146609d7aa4b2dda5e72bd
288;en;"Country Management";839034da244fc1744a0067c79a6af322
289;en;"Export countries to CSV";839034da244fc1744a0067c79a6af322
290;en;Country;eb47ebe678f39994010cf2fcbea30b54
291;en;"City Management";e31327370db4289b6b039528893225a1
292;en;"Export Cities to CSV";efe4c783977ea9af239ee2ef44d61115
293;en;Cities;efe4c783977ea9af239ee2ef44d61115
294;en;"Regional Management";854bfe8a1d9b363544e09a57cbebddfd
295;en;"Exporting Regions to CSV";7133adb16b772f184685e7d96181b53b
296;en;Regions;f03229fb0ebeefc7d9914d0558b22a66
297;en;Statistics;dec6ca4a45b419390c0aa23545b6fab4
298;en;"Visitor statistics";d233ff93ca69dbbbf385aa5103f79724
299;en;"Export visitor statistics to CSV";d233ff93ca69dbbbf385aa5103f79724
300;en;"User rating";a1c1bedab6ba5c9c03c011c9cda05797
301;en;"Export user ratings to CSV";932df96ce61781a5dd61daa631e373cd
302;en;"Roles and rights";e523a8b09a7d6ac127d0f66eae0d3a90
303;en;Geo;e523a8b09a7d6ac127d0f66eae0d3a90
304;en;Settings;419e9c40b86df22bb3d94dc111b39343
305;en;"Export entire database to CSV";d99da46d6d6d7ef1b2fdddf017ab93ab
306;en;"File manager";58cdc675139c5bd0c53ee1f02064c6d5
307;en;"Folders and items";157f136c0b6eff16f463286f4b2d2a87
308;en;Quantity;a02e1e8704c6248e7094226cd27133b1
309;en;"Payment State";61fa3ce1022731bdcf7bd59379701430
310;en;"To the cart";244b4d6b2d2dedbc27472601f50474d6
311;en;"Admin panel";48b7aa8290dbee9baa41d45b54a42e2c
313;en;"You do not have access to this page.";0dffe62ad75196f29c0c7661166971a4
314;en;"Route to controller action.";858e94a2b3b49b2baedb1d8cbc810fbe
343;en;"Table ‘user’ users. Displays all users of the site.";8c78e361b921ba5af170e7a01579f8ce
344;en;"User is not registered.";3838cd7903d95247ace2638eaf9630f6
345;en;"Table ‘basket’ basket. Shows added to the basket of goods, their number, and users who have ordered them.";9d1da8bd0164345acb0e66365fd258a2
346;en;"Table ‘document’ documents. CMS folders. Displays the basic structure of the site. Right-clicking on the selected folder - to create, edit, view, delete this folder. Left-clicking on the selected folder - to create, edit, view, delete elements in this folder.";391334ab05a391bce3738e317c4e26d9
347;en;"Table ‘document’ documents. Elements of a specific folder. These can be publications, products, letter templates, or your own elements used on the site. To create, edit, view, delete items, select a folder.";a7f668cc2f1a35d28a4d0bc65e94f919
348;en;"Table ‘template’ templates. contains templates for items. Templates are assigned to folders and applied to the elements of these folders.";e496ce2abdfedb5cf67a021d3c062bdb
349;en;"Tables ‘source_message’ source text and category, and ‘message’ their translation. Multilingual management.";68b7c7aa6ee20d2be6e4178195106816
350;en;"Create and edit new roles and permissions. Assign permissions to roles used.";c9741a76dd1becee56ec4f7bdbd9b5c0
351;en;"Tables ‘auth_item, auth_item_child’ RBAC.";32ba460fb1b4ec6da4aa81aeba6a88b2
352;en;"Table ‘auth_rule’ RBAC rules.";cf732e3ae660f6ecd09d8076547a182b
353;en;"Country ‘geo_country’ table. Contains a list of countries and information about them.";1a9a8bc48f99d7abd25082d32e70edb4
354;en;"Table ‘city geo_city’. Contains a list of cities and information about them.";20e2d7190ab17d7aa21522ee9f20e041
355;en;"Table ‘geo_region’ regions. Contains a list of regions and information about them.";12bbbe5b2273fb2e2fc175dfd2c532b2
356;en;"Table ‘visit’ statistics of visits.";578c1f76ed6a623f0a63d0abcb5fcdf3
357;en;"Table ‘like’ statistics of ratings.";bcc88fe88d4494a81d4b912f1add680d
358;en;"Further folder attachment is not yet provided.";86e9ac62aeba9635a69a7ada398b2009
359;en;"Login using social network";66f07d66bce5516a2eb1ce7ddb7d2462
360;en;"Check your email and follow the instructions.";d3df7db8ed72140d7ef8b5dd6bcd8599
361;en;"Unfortunately, we cannot reset the password for the entered email.";2dfa79a461ec796659eca64d87b2adea
362;en;"Enter your email address to reset your password.";ef1ccd06d43d92a7dfd6f5163b733a8e
363;en;Choose;a350d508c6c05a7e9740efb88e8fb446
364;en;"Template label";304e0a31a400af65d194e84240ee13f7
371;en;"Login key successfully added.";b7d2e82595788345c726e3750cc164ce
373;en;"This key is already assigned to another user of the site.";b29738cb1e1c80519c74389ce40a614b
379;en;"Location selection";d27d33e5ddb93dddc73eb3a2e1e84a18
381;en;"Template to select a location";d722bcc2a915b0d79aca3146731a0d75
382;en;"Valid fields are country, region, city. Used in the front-end main menu, in a modal window.";de83b53985af39bdd15971f62a845912
383;en;"Forgot your password?";c358b1ad17d89961b7ffb83d32095821
384;en;"Update the profile";1aea452667ecaf021aa30928c51b1114
385;en;"Create the profile";9b8688fed1a4321696f58f4fc123ae03
386;en;"Fill out the profile";1edfa68a67732ab11eca62e911899d9f
387;en;"The field ""{field}"" cannot be less than ""{strlen}"" characters.";c35d845baf0fa427437beab336f7d23b
388;en;"User Profile";c17e99dea24bc7cdfafd0050bf876da8
389;en;"Select a profile";6c678cad9426e00201f929ba107fd0d7
390;en;"User Profile 1";524ac245989ce61d9e9f6151ce39369e
391;en;"User Profile 2";668f66684944db1066fe52fa98491a8b
392;en;Age;381955bf909367fe7956a4848716488d
393;en;"A template for the user\\\\\\\\\\\'s profile 1";6efdf4f51aa67eef14bca84ce652c64d
394;en;"A template for the user\\\\\\\\\\\'s profile 2";52918d5d40a1ce3613ad84f91dd1031e
397;en;"You must create a new view for the elements of the template {temp}.";f3628ed64581c7a98bd9356e2f85e3cf
398;en;"You need to create a new view for the selected element of the {temp} template.";a45d7487ac95d6a1b97471e60a4f0713
399;en;"You need to create a new view for the template menu {temp}.";960ac1e4a7e71b5f56f197eb47dfa8e0
400;en;Author;df6e7c42cadb83f18544c135cbb1303c
401;en;"User is not found.";5bab565fbc756c9bb6db739b2ee48045
402;en;"You must confirm your email.";57aa824a7264ef24f811e3e6a64f9a8e
403;en;"User registration";e618511dd9200a0dbf580e995e4506bb
404;en;"Confirm Email";a598e54373c140569741f616c306fc9e
405;en;"User Agreement";c4fcbd532a7c14926d2a1e58e82af4be
406;en;"Privacy policy";c4fcbd532a7c14926d2a1e58e82af4be
407;en;"Login was successful.";11db9e0455a32a05f02774d810d4778f
408;en;"Login key successfully added. You must confirm your email.";c9a3ef5b1a0ba7c0e13c3d2630d5420e
413;en;"Add a comment";b547b15ee2e7bdd844ecc694ea843e4c
414;en;Cancel;8dfd95b02b94bacd43e1b45038698c19
415;en;"Comments can be posted only by registered users.";b8617d7aaaa78028b84e9e40792381d3
416;en;"No access";a2141479bc5667f65a3b587c88b54e8b
417;en;Like;7f03e5b57cb52afcd0c67f3a02c9dfea
418;en;"Do not like";28080f460db7f85766ddfafc9a4efe5e
419;en;"Number of stars";de3eec213076253239ab19132fed95fb
420;en;Comment;ea2b040dbbffbbc71818a415d32fbdf6
421;en;"Item evaluation allowed";3d1bfabce33f796c7333597c71086c3b
422;en;"Allow comments to an item";30d0a8ba5d8c2ddf7c5464d914a3120f
423;en;"Reply to comment";b14bb0f3c780ecaba9bc0d906b73b396
424;en;Checked;3a117c25034f8a8bf6f9786907ebe62f
425;en;Reply;706b5864ef3d02ad1c065dea86e694a6
426;en;Update;2cdf05f4dc927309ded93af82d3d73cc
427;en;Delete;7d037c7196de7933475c555379223ac2
428;en;"Delete comment";f7b9a1ded760b72d6eeb5375a5fe4487
429;en;"Translation mode";f5223299b279c770fbb373f147c39f9c
431;en;"Names only";f229183900e887ff1110711d2c48b235
432;en;"Do not translate";e370b68e1630b87d617963bf6a09297c
433;en;"Your account has been blocked.";9c5158df55b912bf17547ab71abe17df
436;en;"Votes {votes_number}";ee478205b16a49d6262313a8bdd58a48
438;en;"Create Comment";94e67d00e75f2b4b93cfe328104da6e0
439;en;"Update Comment";29877b79303bd765d220397df0ec7a4b
440;en;"View Comment";d01d9ae0dd475e8ae1430f54acc17e6d
441;en;"Comment management";67fd9f41033acfc9c0d735fb5fb742bf
442;en;"Export comments to CSV";54ea1887ce8c873771a6c11b468f97c9
443;en;Comments;5e18186107cdc28e261b1abcaf86b12d
444;en;"Table ‘comment’. User comments.";330a55b0df31d57670ffedf50cc98c35
450;en;"The name of the role or permissions";cc1bad7fe76b41d4eb40a0d12fa1a212
452;en;"Comment status";f51903b5be4153ae3f50ea87ea6c937c
453;en;"Translate all";c5ec1dff985f5c36e5fe289bd0145684
454;en;"Main Page";44f3f9d2dff2e8a35fccf96fdb975c54
455;en;Product;44f3f9d2dff2e8a35fccf96fdb975c54
456;en;<h1>Product</h1>;1ebfde33f0911e4aa122a4f41d252960
457;en;<h1>Login</h1>;a31eeb8b50db6a53d0b19a1dfefc3a77
458;en;<h1>Registration</h1>;1a5316520b51eabbe478f3be298bfb9d
459;en;<h1>Profile</h1>;3b4e6d38c1596b44c525edb99ba34f87
460;en;"Letter Templates";6ef7c4194017ee25a99af719d006c060
461;en;"Confirmation of registration";480611c9a267678436db21220a7c102b
462;en;"<p>Hello, {NAME_1}!</p> <p>Please verify email address mail follow the link.</p> <p>Login: {EMAIL_1}</p> <p>Password: {PASS_1}</p> <p><a href=""{URL_1}"">activation</a></p> <p>If you are not registered on our site, then simply delete this email.</p> <p>{DATE_1}</p>";e894ff5cc0596caccf7bcbcfb3da75a2
463;en;"<p>Hello, {EMAIL_1}!</p> <p>Please follow the link below to reset your password.</p> <p><a href=""{URL_1}"">Password reset </a></p> <p>{DATE_1}</p>";e894ff5cc0596caccf7bcbcfb3da75a2
464;en;"Language switching";31255223407c0c5b564c831e92c92f06
